epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.03911774605512619,,,,
0,99,,0.024086078628897667,,,,
0,135,,,,0.993913471698761,0.02926240675151348,0.02926240675151348
0,135,0.9929361939430237,,0.03451790660619736,,,
1,149,,0.019740235060453415,,,,
1,199,,0.022297391667962074,,,,
1,249,,0.02489309199154377,,,,
1,271,,,,0.9939470291137695,0.030107777565717697,0.030107777565717697
1,271,0.9943733811378479,,0.027495086193084717,,,
2,299,,0.03332049027085304,,,,
2,349,,0.033699121326208115,,,,
2,399,,0.025818143039941788,,,,
2,407,,,,0.9939470291137695,0.028430715203285217,0.028430715203285217
2,407,0.994359016418457,,0.02717633917927742,,,
3,449,,0.025149790570139885,,,,
3,499,,0.03277252987027168,,,,
3,543,,,,0.9939470291137695,0.02905408665537834,0.02905408665537834
3,543,0.9943805932998657,,0.026865897700190544,,,
