epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.8443272113800049,,,,
0,99,,0.7193138599395752,,,,
0,149,,0.6050634384155273,,,,
0,199,,0.5821572542190552,,,,
0,249,,0.5580294132232666,,,,
0,271,,,,0.7245975732803345,0.5386209487915039,0.5386209487915039
0,271,0.653689980506897,,0.7162938714027405,,,
1,299,,0.593468427658081,,,,
1,349,,0.5764926671981812,,,,
1,399,,0.5457603931427002,,,,
1,449,,0.5687141418457031,,,,
1,499,,0.5504333972930908,,,,
1,543,,,,0.7298122048377991,0.5285857319831848,0.5285857319831848
1,543,0.7083896398544312,,0.5598512887954712,,,
2,549,,0.5292015075683594,,,,
2,599,,0.5296498537063599,,,,
2,649,,0.549323320388794,,,,
2,699,,0.5401073694229126,,,,
2,749,,0.544291615486145,,,,
2,799,,0.5159019827842712,,,,
2,815,,,,0.7343058586120605,0.5225581526756287,0.5225581526756287
2,815,0.7193590402603149,,0.5421941876411438,,,
3,849,,0.5458183288574219,,,,
3,899,,0.5476350784301758,,,,
3,949,,0.5429757833480835,,,,
3,999,,0.5529158115386963,,,,
3,1049,,0.5139760375022888,,,,
3,1087,,,,0.7377766370773315,0.5175230503082275,0.5175230503082275
3,1087,0.7267641425132751,,0.5328344702720642,,,
4,1099,,0.5413461923599243,,,,
4,1149,,0.5141265392303467,,,,
4,1199,,0.5226624011993408,,,,
4,1249,,0.5231955051422119,,,,
4,1299,,0.5228222608566284,,,,
4,1349,,0.5398080348968506,,,,
4,1359,,,,0.740006685256958,0.5131852030754089,0.5131852030754089
4,1359,0.7314673662185669,,0.525669515132904,,,
5,1399,,0.5363941192626953,,,,
5,1449,,0.5279613733291626,,,,
5,1499,,0.5308247804641724,,,,
5,1549,,0.5484350919723511,,,,
5,1599,,0.5239855051040649,,,,
5,1631,,,,0.7425553202629089,0.5097044110298157,0.5097044110298157
5,1631,0.7349597811698914,,0.52036052942276,,,
6,1649,,0.5320866107940674,,,,
6,1699,,0.5476638078689575,,,,
6,1749,,0.542212188243866,,,,
6,1799,,0.5360109806060791,,,,
6,1849,,0.5385904908180237,,,,
6,1899,,0.5080311894416809,,,,
6,1903,,,,0.7438296675682068,0.5072319507598877,0.5072319507598877
6,1903,0.7381179928779602,,0.5157662034034729,,,
7,1949,,0.5445379018783569,,,,
7,1999,,0.4967825412750244,,,,
7,2049,,0.5116972923278809,,,,
7,2099,,0.5014996528625488,,,,
7,2149,,0.5255296230316162,,,,
7,2175,,,,0.7461267709732056,0.5047336220741272,0.5047336220741272
7,2175,0.7410821914672852,,0.511696994304657,,,
8,2199,,0.49712318181991577,,,,
8,2249,,0.5110852718353271,,,,
8,2299,,0.5172125697135925,,,,
8,2349,,0.4921760857105255,,,,
8,2399,,0.5044289827346802,,,,
8,2447,,,,0.7479208707809448,0.5026350021362305,0.5026350021362305
8,2447,0.7430727481842041,,0.5084736943244934,,,
9,2449,,0.4906664490699768,,,,
9,2499,,0.5051596164703369,,,,
9,2549,,0.547853946685791,,,,
9,2599,,0.5197829008102417,,,,
9,2649,,0.5049095153808594,,,,
9,2699,,0.5114457011222839,,,,
9,2719,,,,0.747468113899231,0.5016359686851501,0.5016359686851501
9,2719,0.7438703775405884,,0.5066803693771362,,,
