epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.06599415838718414,,,,
0,67,,,,0.9853118658065796,0.0627727210521698,0.0627727210521698
0,67,0.9827500581741333,,0.08480528742074966,,,
1,99,,0.07871361076831818,,,,
1,135,,,,0.9853118658065796,0.06027700752019882,0.06027700752019882
1,135,0.9845537543296814,,0.06644279509782791,,,
2,149,,0.06965320557355881,,,,
2,199,,0.07527206093072891,,,,
2,203,,,,0.9853118658065796,0.06056886166334152,0.06056886166334152
2,203,0.9845609664916992,,0.06523656100034714,,,
3,249,,0.06771077960729599,,,,
3,271,,,,0.9853118658065796,0.05971817672252655,0.05971817672252655
3,271,0.9845573306083679,,0.06438237428665161,,,
4,299,,0.0688302218914032,,,,
4,339,,,,0.9853118658065796,0.06126028671860695,0.06126028671860695
4,339,0.9845645427703857,,0.06385401636362076,,,
