epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.5809184312820435,,,,
0,99,,0.5616042613983154,,,,
0,135,,,,0.7374748587608337,0.522062361240387,0.522062361240387
0,135,0.6896593570709229,,0.6006267070770264,,,
1,149,,0.5197890996932983,,,,
1,199,,0.5291931629180908,,,,
1,249,,0.5216121673583984,,,,
1,271,,,,0.7440811395645142,0.5084397792816162,0.5084397792816162
1,271,0.7312661409378052,,0.5272320508956909,,,
2,299,,0.5059642791748047,,,,
2,349,,0.5052123665809631,,,,
2,399,,0.5398302674293518,,,,
2,407,,,,0.7458081841468811,0.5052390098571777,0.5052390098571777
2,407,0.7388868927955627,,0.5156058669090271,,,
3,449,,0.5126461982727051,,,,
3,499,,0.5040680766105652,,,,
3,543,,,,0.7467974424362183,0.5023724436759949,0.5023724436759949
3,543,0.7413983941078186,,0.5106306672096252,,,
4,549,,0.515390932559967,,,,
4,599,,0.5099798440933228,,,,
4,649,,0.50763338804245,,,,
4,679,,,,0.7476525902748108,0.5015873312950134,0.5015873312950134
4,679,0.7430799007415771,,0.5075622797012329,,,
5,699,,0.5140725374221802,,,,
5,749,,0.49650365114212036,,,,
5,799,,0.5011091828346252,,,,
5,815,,,,0.7479711771011353,0.5005362629890442,0.5005362629890442
5,815,0.7446141242980957,,0.5057523846626282,,,
6,849,,0.5121878385543823,,,,
6,899,,0.4911230206489563,,,,
6,949,,0.49442940950393677,,,,
6,951,,,,0.7486250996589661,0.500908613204956,0.500908613204956
6,951,0.7455841898918152,,0.5041722655296326,,,
7,999,,0.49755755066871643,,,,
7,1049,,0.5152127146720886,,,,
7,1087,,,,0.7491448521614075,0.4999944269657135,0.4999944269657135
7,1087,0.7457207441329956,,0.5028237104415894,,,
8,1099,,0.533450186252594,,,,
8,1149,,0.49974098801612854,,,,
8,1199,,0.5161989331245422,,,,
8,1223,,,,0.7494634389877319,0.5004358291625977,0.5004358291625977
8,1223,0.7474058866500854,,0.5016821622848511,,,
