epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.06156565621495247,,,,
0,99,,0.04749135673046112,,,,
0,135,,,,0.9939470291137695,0.03630213811993599,0.03630213811993599
0,135,0.969811737537384,,0.09885841608047485,,,
1,149,,0.03906333073973656,,,,
1,199,,0.05238590016961098,,,,
1,249,,0.03173992037773132,,,,
1,271,,,,0.9939470291137695,0.032353468239307404,0.032353468239307404
1,271,0.9939961433410645,,0.03749975934624672,,,
2,299,,0.0448402538895607,,,,
2,349,,0.02214757353067398,,,,
2,399,,0.043755169957876205,,,,
2,407,,,,0.9939470291137695,0.03103640489280224,0.03103640489280224
2,407,0.9938128590583801,,0.034501589834690094,,,
3,449,,0.02576208859682083,,,,
3,499,,0.02657432295382023,,,,
3,543,,,,0.993913471698761,0.030146796256303787,0.030146796256303787
3,543,0.993999719619751,,0.032867010682821274,,,
4,549,,0.03631260246038437,,,,
4,599,,0.03796648979187012,,,,
4,649,,0.02611711248755455,,,,
4,679,,,,0.993913471698761,0.029721785336732864,0.029721785336732864
4,679,0.994147002696991,,0.03148487210273743,,,
5,699,,0.032706379890441895,,,,
5,749,,0.024339525029063225,,,,
5,799,,0.016192300245165825,,,,
5,815,,,,0.9939302206039429,0.029443910345435143,0.029443910345435143
5,815,0.9942153096199036,,0.030851561576128006,,,
6,849,,0.024453233927488327,,,,
6,899,,0.03793970122933388,,,,
6,949,,0.0452335961163044,,,,
6,951,,,,0.9939302206039429,0.029152965173125267,0.029152965173125267
6,951,0.9941901564598083,,0.030037522315979004,,,
7,999,,0.020162586122751236,,,,
7,1049,,0.039412520825862885,,,,
7,1087,,,,0.9939470291137695,0.029095526784658432,0.029095526784658432
7,1087,0.9942763447761536,,0.02921283431351185,,,
