epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.07746749371290207,,,,
0,99,,0.06870470196008682,,,,
0,135,,,,0.9852951169013977,0.06306064128875732,0.06306064128875732
0,135,0.9814134836196899,,0.08361784368753433,,,
1,149,,0.08565852046012878,,,,
1,199,,0.09680856019258499,,,,
1,249,,0.06302282214164734,,,,
1,271,,,,0.9853118658065796,0.061902161687612534,0.061902161687612534
1,271,0.984503448009491,,0.06853517144918442,,,
2,299,,0.06996043026447296,,,,
2,349,,0.07932938635349274,,,,
2,399,,0.05959567055106163,,,,
2,407,,,,0.9853286147117615,0.06167303025722504,0.06167303025722504
2,407,0.9845106601715088,,0.06693780422210693,,,
3,449,,0.07161979377269745,,,,
3,499,,0.0719638466835022,,,,
3,543,,,,0.9853118658065796,0.06107581779360771,0.06107581779360771
3,543,0.984535813331604,,0.06599599123001099,,,
4,549,,0.06501726806163788,,,,
4,599,,0.06341433525085449,,,,
4,649,,0.06284579634666443,,,,
4,679,,,,0.9853118658065796,0.06176923215389252,0.06176923215389252
4,679,0.9845501780509949,,0.06522317975759506,,,
