epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.5994499921798706,,,,
0,67,,,,0.717370867729187,0.5494636297225952,0.5494636297225952
0,67,0.6515880823135376,,0.7965279221534729,,,
1,99,,0.5580101609230042,,,,
1,135,,,,0.7337524890899658,0.5325206518173218,0.5325206518173218
1,135,0.7113862037658691,,0.5600435733795166,,,
2,149,,0.5319125652313232,,,,
2,199,,0.5204280614852905,,,,
2,203,,,,0.7398725748062134,0.5158466696739197,0.5158466696739197
2,203,0.7267066836357117,,0.5357620120048523,,,
3,249,,0.5236231684684753,,,,
3,271,,,,0.7435948848724365,0.5084503293037415,0.5084503293037415
3,271,0.7360125184059143,,0.5212308764457703,,,
4,299,,0.5163778066635132,,,,
4,339,,,,0.7461602687835693,0.5027749538421631,0.5027749538421631
4,339,0.7409456968307495,,0.5127542018890381,,,
5,349,,0.5049864649772644,,,,
5,399,,0.5145094394683838,,,,
5,407,,,,0.7470489740371704,0.5018757581710815,0.5018757581710815
5,407,0.7432092428207397,,0.5085801482200623,,,
6,449,,0.49742594361305237,,,,
6,475,,,,0.7477028965950012,0.50081467628479,0.50081467628479
6,475,0.7448476552963257,,0.5053637027740479,,,
7,499,,0.5051676034927368,,,,
7,543,,,,0.7481052875518799,0.4995838701725006,0.4995838701725006
7,543,0.7457746267318726,,0.5038619041442871,,,
8,549,,0.5069339275360107,,,,
8,599,,0.5019166469573975,,,,
8,611,,,,0.7481723427772522,0.49865323305130005,0.49865323305130005
8,611,0.7466405630111694,,0.5029067993164062,,,
9,649,,0.5005477666854858,,,,
9,679,,,,0.7485747933387756,0.49786028265953064,0.49786028265953064
9,679,0.7470645308494568,,0.5016584992408752,,,
