epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.03147164359688759,,,,
0,99,,0.029931478202342987,,,,
0,149,,0.018586646765470505,,,,
0,199,,0.011629002168774605,,,,
0,249,,0.03160690888762474,,,,
0,271,,,,0.9939470291137695,0.02869419753551483,0.02869419753551483
0,271,0.9910714030265808,,0.036946337670087814,,,
1,299,,0.01668037846684456,,,,
1,349,,0.016743382439017296,,,,
1,399,,0.02362045645713806,,,,
1,449,,0.019090037792921066,,,,
1,499,,0.01847245916724205,,,,
1,543,,,,0.9939470291137695,0.02877967432141304,0.02877967432141304
1,543,0.9943841695785522,,0.027162594720721245,,,
2,549,,0.023366669192910194,,,,
2,599,,0.022138770669698715,,,,
2,649,,0.029188085347414017,,,,
2,699,,0.03234820067882538,,,,
2,749,,0.03655468672513962,,,,
2,799,,0.027904516085982323,,,,
2,815,,,,0.9939470291137695,0.029794221743941307,0.029794221743941307
2,815,0.9943698048591614,,0.02675708569586277,,,
3,849,,0.021077288314700127,,,,
3,899,,0.017596840858459473,,,,
3,949,,0.027271730825304985,,,,
3,999,,0.030317746102809906,,,,
3,1049,,0.02407357096672058,,,,
3,1087,,,,0.9939470291137695,0.029404515400528908,0.029404515400528908
3,1087,0.9943805932998657,,0.026436805725097656,,,
