epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.5559673309326172,,,,
0,99,,0.5396474599838257,,,,
0,135,,,,0.7355801463127136,0.5199623107910156,0.5199623107910156
0,135,0.6982070803642273,,0.58174729347229,,,
1,149,,0.5489087104797363,,,,
1,199,,0.5309056043624878,,,,
1,249,,0.5259534120559692,,,,
1,271,,,,0.7447183132171631,0.5065568685531616,0.5065568685531616
1,271,0.7333608865737915,,0.5213157534599304,,,
2,299,,0.5094622373580933,,,,
2,349,,0.4953864812850952,,,,
2,399,,0.5064038038253784,,,,
2,407,,,,0.7473675608634949,0.5022719502449036,0.5022719502449036
2,407,0.7412977814674377,,0.509329617023468,,,
3,449,,0.5050051212310791,,,,
3,499,,0.5164893865585327,,,,
3,543,,,,0.7487927675247192,0.4997158646583557,0.4997158646583557
3,543,0.7447183132171631,,0.5046340823173523,,,
4,549,,0.5157021284103394,,,,
4,599,,0.4977118670940399,,,,
4,649,,0.47478675842285156,,,,
4,679,,,,0.7483903169631958,0.49953746795654297,0.49953746795654297
4,679,0.7463818788528442,,0.5015440583229065,,,
5,699,,0.49233150482177734,,,,
5,749,,0.498058021068573,,,,
5,799,,0.48395204544067383,,,,
5,815,,,,0.7496814131736755,0.4980422854423523,0.4980422854423523
5,815,0.7477543950080872,,0.4995298683643341,,,
6,849,,0.4903199374675751,,,,
6,899,,0.5056498050689697,,,,
6,949,,0.4824448525905609,,,,
6,951,,,,0.7495640516281128,0.49734535813331604,0.49734535813331604
6,951,0.7483831644058228,,0.4981325566768646,,,
7,999,,0.4982248544692993,,,,
7,1049,,0.4947553277015686,,,,
7,1087,,,,0.7495640516281128,0.49728283286094666,0.49728283286094666
7,1087,0.7492203116416931,,0.49734970927238464,,,
8,1099,,0.5032972693443298,,,,
8,1149,,0.48986154794692993,,,,
8,1199,,0.4851924479007721,,,,
8,1223,,,,0.7509222030639648,0.49597683548927307,0.49597683548927307
8,1223,0.7502083778381348,,0.49599123001098633,,,
9,1249,,0.5111318230628967,,,,
9,1299,,0.48277318477630615,,,,
9,1349,,0.5144025087356567,,,,
9,1359,,,,0.7504023909568787,0.49628946185112,0.49628946185112
9,1359,0.7509916424751282,,0.49577224254608154,,,
