epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.03779289126396179,,,,
0,99,,0.04379240795969963,,,,
0,149,,0.03567265719175339,,,,
0,199,,0.01963585615158081,,,,
0,249,,0.02766433171927929,,,,
0,271,,,,0.9939470291137695,0.028828274458646774,0.028828274458646774
0,271,0.9916427135467529,,0.03390006348490715,,,
1,299,,0.019370287656784058,,,,
1,349,,0.02321576699614525,,,,
1,399,,0.02768098935484886,,,,
1,449,,0.029244128614664078,,,,
1,499,,0.045209191739559174,,,,
1,543,,,,0.9939470291137695,0.028635652735829353,0.028635652735829353
1,543,0.9943805932998657,,0.02741781622171402,,,
2,549,,0.037813328206539154,,,,
2,599,,0.031371403485536575,,,,
2,649,,0.02089662477374077,,,,
2,699,,0.02723700925707817,,,,
2,749,,0.007836960256099701,,,,
2,799,,0.02993662841618061,,,,
2,815,,,,0.9939470291137695,0.029379557818174362,0.029379557818174362
2,815,0.9943805932998657,,0.026811633259058,,,
3,849,,0.016430960968136787,,,,
3,899,,0.017735667526721954,,,,
3,949,,0.022483326494693756,,,,
3,999,,0.018434438854455948,,,,
3,1049,,0.025435542687773705,,,,
3,1087,,,,0.9939470291137695,0.028412403538823128,0.028412403538823128
3,1087,0.9943913221359253,,0.02654176764190197,,,
