epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.07711224257946014,,,,
0,67,,,,0.9853118658065796,0.0715775117278099,0.0715775117278099
0,67,0.9667432904243469,,0.11959218978881836,,,
1,99,,0.06944002211093903,,,,
1,135,,,,0.9853118658065796,0.06560806930065155,0.06560806930065155
1,135,0.9844782948493958,,0.07551565021276474,,,
2,149,,0.06634734570980072,,,,
2,199,,0.06786470115184784,,,,
2,203,,,,0.9852112531661987,0.06300681084394455,0.06300681084394455
2,203,0.9844028353691101,,0.07029669731855392,,,
3,249,,0.07026214897632599,,,,
3,271,,,,0.9852951169013977,0.061991430819034576,0.061991430819034576
3,271,0.9844603538513184,,0.06813231855630875,,,
4,299,,0.0569223016500473,,,,
4,339,,,,0.9853118658065796,0.061186276376247406,0.061186276376247406
4,339,0.9844855070114136,,0.06655625253915787,,,
5,349,,0.06252102553844452,,,,
5,399,,0.061071038246154785,,,,
5,407,,,,0.9853118658065796,0.06060216948390007,0.06060216948390007
5,407,0.9845178127288818,,0.06581691652536392,,,
6,449,,0.06335553526878357,,,,
6,475,,,,0.9853118658065796,0.060359664261341095,0.060359664261341095
6,475,0.984542965888977,,0.06501395255327225,,,
7,499,,0.055378448218107224,,,,
7,543,,,,0.9852951169013977,0.06003814563155174,0.06003814563155174
7,543,0.9845465421676636,,0.06427562981843948,,,
8,549,,0.06589013338088989,,,,
8,599,,0.07284882664680481,,,,
8,611,,,,0.9852951169013977,0.05971056595444679,0.05971056595444679
8,611,0.984542965888977,,0.06386907398700714,,,
