epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.07957710325717926,,,,
0,67,,,,0.9853118658065796,0.06512464582920074,0.06512464582920074
0,67,0.9828758239746094,,0.0885801762342453,,,
1,99,,0.06730267405509949,,,,
1,135,,,,0.9853118658065796,0.062778539955616,0.062778539955616
1,135,0.9844747185707092,,0.07208798825740814,,,
2,149,,0.07781016081571579,,,,
2,199,,0.07215138524770737,,,,
2,203,,,,0.9853118658065796,0.06196524575352669,0.06196524575352669
2,203,0.9845213890075684,,0.0690501257777214,,,
3,249,,0.05748601257801056,,,,
3,271,,,,0.9853118658065796,0.06140804663300514,0.06140804663300514
3,271,0.9845250248908997,,0.06784326583147049,,,
4,299,,0.06457653641700745,,,,
4,339,,,,0.9853118658065796,0.06109679862856865,0.06109679862856865
4,339,0.984542965888977,,0.0665866807103157,,,
5,349,,0.07559052109718323,,,,
5,399,,0.0643550306558609,,,,
5,407,,,,0.9853118658065796,0.06031259521842003,0.06031259521842003
5,407,0.9845573306083679,,0.0657367929816246,,,
6,449,,0.07554934173822403,,,,
6,475,,,,0.9853118658065796,0.06015665456652641,0.06015665456652641
6,475,0.9845645427703857,,0.06498891115188599,,,
7,499,,0.05667886137962341,,,,
7,543,,,,0.9853118658065796,0.06008770689368248,0.06008770689368248
7,543,0.9845501780509949,,0.06428809463977814,,,
8,549,,0.06578561663627625,,,,
8,599,,0.0637289509177208,,,,
8,611,,,,0.9853118658065796,0.06010830029845238,0.06010830029845238
8,611,0.9845609664916992,,0.06425022333860397,,,
