epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.5537034273147583,,,,
0,99,,0.5646873116493225,,,,
0,135,,,,0.7392857074737549,0.5154833197593689,0.5154833197593689
0,135,0.7064098715782166,,0.5636426210403442,,,
1,149,,0.5363469123840332,,,,
1,199,,0.5252718925476074,,,,
1,249,,0.5054665207862854,,,,
1,271,,,,0.7441146969795227,0.5057833194732666,0.5057833194732666
1,271,0.7359945178031921,,0.5194167494773865,,,
2,299,,0.5108926296234131,,,,
2,349,,0.5091639757156372,,,,
2,399,,0.5094695687294006,,,,
2,407,,,,0.744450032711029,0.5026158690452576,0.5026158690452576
2,407,0.7411432862281799,,0.5103466510772705,,,
3,449,,0.5091434121131897,,,,
3,499,,0.5019695162773132,,,,
3,543,,,,0.7481388449668884,0.5013607740402222,0.5013607740402222
3,543,0.7441829442977905,,0.5055264830589294,,,
4,549,,0.49338382482528687,,,,
4,599,,0.48489683866500854,,,,
4,649,,0.48955321311950684,,,,
4,679,,,,0.7478873133659363,0.49944302439689636,0.49944302439689636
4,679,0.7459506988525391,,0.5035185813903809,,,
5,699,,0.509522557258606,,,,
5,749,,0.49543166160583496,,,,
5,799,,0.497881144285202,,,,
5,815,,,,0.7457578778266907,0.5009744167327881,0.5009744167327881
5,815,0.7469782829284668,,0.5011477470397949,,,
6,849,,0.5146678686141968,,,,
6,899,,0.49657392501831055,,,,
6,949,,0.505172610282898,,,,
6,951,,,,0.7475184202194214,0.4988735020160675,0.4988735020160675
6,951,0.7478047013282776,,0.49997320771217346,,,
7,999,,0.4949667751789093,,,,
7,1049,,0.4809383749961853,,,,
7,1087,,,,0.7488933801651001,0.4972710609436035,0.4972710609436035
7,1087,0.7475495934486389,,0.49938729405403137,,,
8,1099,,0.4958460330963135,,,,
8,1149,,0.49582019448280334,,,,
8,1199,,0.5097241997718811,,,,
8,1223,,,,0.7476525902748108,0.4988447427749634,0.4988447427749634
8,1223,0.7484837770462036,,0.4983082711696625,,,
9,1249,,0.4972588121891022,,,,
9,1299,,0.501081109046936,,,,
9,1349,,0.4890429675579071,,,,
9,1359,,,,0.7479543685913086,0.4983285367488861,0.4983285367488861
9,1359,0.749414324760437,,0.4973975121974945,,,
