epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.12431003153324127,,,,
0,67,,,,0.9853118658065796,0.07099329680204391,0.07099329680204391
0,67,0.941815197467804,,0.291286826133728,,,
1,99,,0.06818728148937225,,,,
1,135,,,,0.9853118658065796,0.06770161539316177,0.06770161539316177
1,135,0.9843310117721558,,0.08165549486875534,,,
2,149,,0.08028340339660645,,,,
2,199,,0.073096364736557,,,,
2,203,,,,0.9853118658065796,0.06486077606678009,0.06486077606678009
2,203,0.9844675064086914,,0.07489176094532013,,,
3,249,,0.06441701948642731,,,,
3,271,,,,0.9853118658065796,0.06392445415258408,0.06392445415258408
3,271,0.9845213890075684,,0.07183846086263657,,,
4,299,,0.07177726924419403,,,,
4,339,,,,0.9853118658065796,0.06254330277442932,0.06254330277442932
4,339,0.9844423532485962,,0.06977427005767822,,,
5,349,,0.04801297187805176,,,,
5,399,,0.07029857486486435,,,,
5,407,,,,0.9853118658065796,0.06165798380970955,0.06165798380970955
5,407,0.9844890832901001,,0.06891898065805435,,,
6,449,,0.07369232177734375,,,,
6,475,,,,0.9853118658065796,0.061861682683229446,0.061861682683229446
6,475,0.9845213890075684,,0.06792427599430084,,,
7,499,,0.062224045395851135,,,,
7,543,,,,0.9853118658065796,0.060701631009578705,0.060701631009578705
7,543,0.984535813331604,,0.06705793738365173,,,
8,549,,0.07519762217998505,,,,
8,599,,0.0713420957326889,,,,
8,611,,,,0.9853118658065796,0.06029456481337547,0.06029456481337547
8,611,0.984542965888977,,0.06651584804058075,,,
9,649,,0.06112711504101753,,,,
9,679,,,,0.9853118658065796,0.06018123775720596,0.06018123775720596
9,679,0.9845609664916992,,0.06601572036743164,,,
