epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.06586189568042755,,,,
0,67,,,,0.9853118658065796,0.06187810003757477,0.06187810003757477
0,67,0.984036386013031,,0.07594805210828781,,,
1,99,,0.06577089428901672,,,,
1,135,,,,0.9853118658065796,0.05992729589343071,0.05992729589343071
1,135,0.9845537543296814,,0.0660831555724144,,,
2,149,,0.053387463092803955,,,,
2,199,,0.06886109709739685,,,,
2,203,,,,0.9853118658065796,0.05939721316099167,0.05939721316099167
2,203,0.9845537543296814,,0.06459581106901169,,,
3,249,,0.05791214853525162,,,,
3,271,,,,0.9853118658065796,0.05933559685945511,0.05933559685945511
3,271,0.9845609664916992,,0.06400793790817261,,,
4,299,,0.06010676175355911,,,,
4,339,,,,0.9853118658065796,0.06001605466008186,0.06001605466008186
4,339,0.9845645427703857,,0.06350415199995041,,,
