epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.5434831380844116,,,,
0,67,,,,0.7376425266265869,0.5191370844841003,0.5191370844841003
0,67,0.6986885666847229,,0.5935039520263672,,,
1,99,,0.5047155618667603,,,,
1,135,,,,0.7454057931900024,0.50506192445755,0.50506192445755
1,135,0.735595703125,,0.5196880102157593,,,
2,149,,0.5209801197052002,,,,
2,199,,0.522063136100769,,,,
2,203,,,,0.74644535779953,0.5014585852622986,0.5014585852622986
2,203,0.7438523769378662,,0.5068599581718445,,,
3,249,,0.5075544118881226,,,,
3,271,,,,0.7491281032562256,0.4993610978126526,0.4993610978126526
3,271,0.7467483282089233,,0.502109169960022,,,
4,299,,0.5045888423919678,,,,
4,339,,,,0.7491951584815979,0.4974619448184967,0.4974619448184967
4,339,0.7478334307670593,,0.49938541650772095,,,
5,349,,0.504206120967865,,,,
5,399,,0.4947717785835266,,,,
5,407,,,,0.7494131326675415,0.4968676269054413,0.4968676269054413
5,407,0.7490730285644531,,0.49834302067756653,,,
6,449,,0.4999516010284424,,,,
6,475,,,,0.749178409576416,0.49943023920059204,0.49943023920059204
6,475,0.749407172203064,,0.4970642626285553,,,
7,499,,0.49758708477020264,,,,
7,543,,,,0.7509725093841553,0.4956192672252655,0.4956192672252655
7,543,0.749586820602417,,0.4961600601673126,,,
8,549,,0.49470677971839905,,,,
8,599,,0.4996297061443329,,,,
8,611,,,,0.7484574317932129,0.4970795810222626,0.4970795810222626
8,611,0.7507185935974121,,0.4950323700904846,,,
9,649,,0.48488035798072815,,,,
9,679,,,,0.7495976090431213,0.49742206931114197,0.49742206931114197
9,679,0.7510743141174316,,0.4948064982891083,,,
