epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.05340437963604927,,,,
0,99,,0.05642275512218475,,,,
0,135,,,,0.9939470291137695,0.03732286021113396,0.03732286021113396
0,135,0.9771988987922668,,0.07845685631036758,,,
1,149,,0.05647575855255127,,,,
1,199,,0.02998056635260582,,,,
1,249,,0.04264918342232704,,,,
1,271,,,,0.9939470291137695,0.034288324415683746,0.034288324415683746
1,271,0.994085967540741,,0.03890853375196457,,,
2,299,,0.041998241096735,,,,
2,349,,0.025167103856801987,,,,
2,399,,0.04034978523850441,,,,
2,407,,,,0.9939470291137695,0.03295718505978584,0.03295718505978584
2,407,0.9940679669380188,,0.0356849804520607,,,
3,449,,0.03754827380180359,,,,
3,499,,0.037027664482593536,,,,
3,543,,,,0.9939470291137695,0.03126291558146477,0.03126291558146477
3,543,0.9940392374992371,,0.03461781144142151,,,
4,549,,0.029288863763213158,,,,
4,599,,0.02497268095612526,,,,
4,649,,0.034836798906326294,,,,
4,679,,,,0.9939470291137695,0.03066258877515793,0.03066258877515793
4,679,0.9940751791000366,,0.033027004450559616,,,
5,699,,0.027932655066251755,,,,
5,749,,0.02419225499033928,,,,
5,799,,0.019526081159710884,,,,
5,815,,,,0.9939470291137695,0.030538424849510193,0.030538424849510193
5,815,0.9941146969795227,,0.03251095116138458,,,
6,849,,0.04138192534446716,,,,
6,899,,0.02626780793070793,,,,
6,949,,0.030341293662786484,,,,
6,951,,,,0.9939470291137695,0.03004482015967369,0.03004482015967369
6,951,0.9942080974578857,,0.031297434121370316,,,
7,999,,0.026737641543149948,,,,
7,1049,,0.02621523290872574,,,,
7,1087,,,,0.9939470291137695,0.029764341190457344,0.029764341190457344
7,1087,0.9942691922187805,,0.03069668635725975,,,
8,1099,,0.036022670567035675,,,,
8,1149,,0.028533514589071274,,,,
8,1199,,0.030165908858180046,,,,
8,1223,,,,0.9939470291137695,0.029536454007029533,0.029536454007029533
8,1223,0.9943159222602844,,0.03066740371286869,,,
9,1249,,0.0312044695019722,,,,
9,1299,,0.03192375972867012,,,,
9,1349,,0.0270359106361866,,,,
9,1359,,,,0.9939470291137695,0.029375987127423286,0.029375987127423286
9,1359,0.9942835569381714,,0.030324002727866173,,,
