epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.4957674741744995,,,,
0,99,,0.5247786045074463,,,,
0,149,,0.5194183588027954,,,,
0,199,,0.49005556106567383,,,,
0,249,,0.5201342105865479,,,,
0,271,,,,0.7470321655273438,0.5028036832809448,0.5028036832809448
0,271,0.73512864112854,,0.5208747386932373,,,
1,299,,0.4997658133506775,,,,
1,349,,0.4779834449291229,,,,
1,399,,0.4812556207180023,,,,
1,449,,0.4772012233734131,,,,
1,499,,0.48941463232040405,,,,
1,543,,,,0.748356819152832,0.5000463128089905,0.5000463128089905
1,543,0.7470717430114746,,0.5007184147834778,,,
2,549,,0.4796452224254608,,,,
2,599,,0.4934118092060089,,,,
2,649,,0.4791843891143799,,,,
2,699,,0.48480862379074097,,,,
2,749,,0.503181517124176,,,,
2,799,,0.5136874318122864,,,,
2,815,,,,0.7485915422439575,0.4979853332042694,0.4979853332042694
2,815,0.7493137121200562,,0.4974111318588257,,,
3,849,,0.49493464827537537,,,,
3,899,,0.47807788848876953,,,,
3,949,,0.4853940010070801,,,,
3,999,,0.4983493685722351,,,,
3,1049,,0.49126148223876953,,,,
3,1087,,,,0.7492790222167969,0.49654942750930786,0.49654942750930786
3,1087,0.7506036162376404,,0.4950577914714813,,,
4,1099,,0.5001912713050842,,,,
4,1149,,0.493835985660553,,,,
4,1199,,0.4632013142108917,,,,
4,1249,,0.5028526186943054,,,,
4,1299,,0.49277836084365845,,,,
4,1349,,0.48252612352371216,,,,
4,1359,,,,0.7493125200271606,0.4965440630912781,0.4965440630912781
4,1359,0.7513904571533203,,0.4936537742614746,,,
5,1399,,0.4891965389251709,,,,
5,1449,,0.4896513819694519,,,,
5,1499,,0.4973348379135132,,,,
5,1549,,0.49446338415145874,,,,
5,1599,,0.48485586047172546,,,,
5,1631,,,,0.7501676678657532,0.49612271785736084,0.49612271785736084
5,1631,0.752263605594635,,0.49262624979019165,,,
6,1649,,0.5324223041534424,,,,
6,1699,,0.5068309903144836,,,,
6,1749,,0.5059072971343994,,,,
6,1799,,0.5511308908462524,,,,
6,1849,,0.5028387308120728,,,,
6,1899,,0.48464083671569824,,,,
6,1903,,,,0.750083863735199,0.49591121077537537,0.49591121077537537
6,1903,0.7524396181106567,,0.49164849519729614,,,
