epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.03978788107633591,,,,
0,99,,0.04008688032627106,,,,
0,135,,,,0.9939470291137695,0.03258555382490158,0.03258555382490158
0,135,0.979268491268158,,0.08259420841932297,,,
1,149,,0.0457598902285099,,,,
1,199,,0.03279869258403778,,,,
1,249,,0.053371548652648926,,,,
1,271,,,,0.9939470291137695,0.03099723346531391,0.03099723346531391
1,271,0.994319498538971,,0.03294506296515465,,,
2,299,,0.040038205683231354,,,,
2,349,,0.025248948484659195,,,,
2,399,,0.032678455114364624,,,,
2,407,,,,0.9939470291137695,0.030073318630456924,0.030073318630456924
2,407,0.994326651096344,,0.03074819967150688,,,
3,449,,0.03492838144302368,,,,
3,499,,0.025310933589935303,,,,
3,543,,,,0.9939470291137695,0.02919897250831127,0.02919897250831127
3,543,0.9943410754203796,,0.029556959867477417,,,
4,549,,0.027114953845739365,,,,
4,599,,0.02124500274658203,,,,
4,649,,0.032997265458106995,,,,
4,679,,,,0.9939470291137695,0.028896799311041832,0.028896799311041832
4,679,0.9943661689758301,,0.02895464561879635,,,
5,699,,0.02524433843791485,,,,
5,749,,0.02672472968697548,,,,
5,799,,0.024182237684726715,,,,
5,815,,,,0.9939470291137695,0.02878350019454956,0.02878350019454956
5,815,0.994359016418457,,0.02847886271774769,,,
6,849,,0.02607106789946556,,,,
6,899,,0.025430385023355484,,,,
6,949,,0.030357711017131805,,,,
6,951,,,,0.9939470291137695,0.02859383635222912,0.02859383635222912
6,951,0.9943661689758301,,0.02795536071062088,,,
