epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.0805802196264267,,,,
0,99,,0.08264128863811493,,,,
0,135,,,,0.9853118658065796,0.06535008549690247,0.06535008549690247
0,135,0.9699913859367371,,0.10866644233465195,,,
1,149,,0.05959899723529816,,,,
1,199,,0.06873701512813568,,,,
1,249,,0.060851555317640305,,,,
1,271,,,,0.9853118658065796,0.0623130202293396,0.0623130202293396
1,271,0.9844064116477966,,0.06967800110578537,,,
2,299,,0.07511891424655914,,,,
2,349,,0.08217214047908783,,,,
2,399,,0.054056886583566666,,,,
2,407,,,,0.9853286147117615,0.06112619861960411,0.06112619861960411
2,407,0.9845070242881775,,0.06749924272298813,,,
3,449,,0.06100637838244438,,,,
3,499,,0.054187458008527756,,,,
3,543,,,,0.9853454232215881,0.06031185761094093,0.06031185761094093
3,543,0.984535813331604,,0.06612033396959305,,,
4,549,,0.053968340158462524,,,,
4,599,,0.057730212807655334,,,,
4,649,,0.05709884688258171,,,,
4,679,,,,0.9853286147117615,0.06013626977801323,0.06013626977801323
4,679,0.9845609664916992,,0.06499536335468292,,,
5,699,,0.060435451567173004,,,,
5,749,,0.07229012995958328,,,,
5,799,,0.06407557427883148,,,,
5,815,,,,0.9853454232215881,0.05971096456050873,0.05971096456050873
5,815,0.9845645427703857,,0.0645482987165451,,,
6,849,,0.06639569252729416,,,,
6,899,,0.052045438438653946,,,,
6,949,,0.05720716342329979,,,,
6,951,,,,0.9853118658065796,0.05947830528020859,0.05947830528020859
6,951,0.9845645427703857,,0.06435348093509674,,,
7,999,,0.05261509120464325,,,,
7,1049,,0.04763614386320114,,,,
7,1087,,,,0.985278308391571,0.05938906967639923,0.05938906967639923
7,1087,0.984542965888977,,0.06397707015275955,,,
8,1099,,0.07110830396413803,,,,
8,1149,,0.07261960208415985,,,,
8,1199,,0.06572453677654266,,,,
8,1223,,,,0.9853118658065796,0.05946645140647888,0.05946645140647888
8,1223,0.9845465421676636,,0.06330429017543793,,,
