epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.5587047338485718,,,,
0,99,,0.5152744650840759,,,,
0,149,,0.5112666487693787,,,,
0,199,,0.5214358568191528,,,,
0,249,,0.5393431782722473,,,,
0,271,,,,0.7430248260498047,0.508361279964447,0.508361279964447
0,271,0.7194164991378784,,0.5523263216018677,,,
1,299,,0.5015169978141785,,,,
1,349,,0.4783247113227844,,,,
1,399,,0.5122365355491638,,,,
1,449,,0.49051031470298767,,,,
1,499,,0.4870556592941284,,,,
1,543,,,,0.7463447451591492,0.5007354021072388,0.5007354021072388
1,543,0.7426559329032898,,0.5065697431564331,,,
2,549,,0.49149399995803833,,,,
2,599,,0.49890828132629395,,,,
2,649,,0.4817329943180084,,,,
2,699,,0.51820307970047,,,,
2,749,,0.481289267539978,,,,
2,799,,0.4995371103286743,,,,
2,815,,,,0.745824933052063,0.5008454322814941,0.5008454322814941
2,815,0.7475172281265259,,0.4989795982837677,,,
3,849,,0.49791476130485535,,,,
3,899,,0.5154346227645874,,,,
3,949,,0.48995378613471985,,,,
3,999,,0.49026399850845337,,,,
3,1049,,0.4665217399597168,,,,
3,1087,,,,0.7457243204116821,0.4999393820762634,0.4999393820762634
3,1087,0.7496550679206848,,0.49590781331062317,,,
4,1099,,0.45916879177093506,,,,
4,1149,,0.49462997913360596,,,,
4,1199,,0.5065460205078125,,,,
4,1249,,0.5141817331314087,,,,
4,1299,,0.5033888816833496,,,,
4,1349,,0.5284069180488586,,,,
4,1359,,,,0.7502179741859436,0.49928155541419983,0.49928155541419983
4,1359,0.7509737014770508,,0.4941661059856415,,,
5,1399,,0.5053695440292358,,,,
5,1449,,0.5188342332839966,,,,
5,1499,,0.4695398807525635,,,,
5,1549,,0.48068833351135254,,,,
5,1599,,0.48551005125045776,,,,
5,1631,,,,0.7496981620788574,0.49637293815612793,0.49637293815612793
5,1631,0.7517569661140442,,0.4930388629436493,,,
6,1649,,0.5060373544692993,,,,
6,1699,,0.4882238209247589,,,,
6,1749,,0.496099054813385,,,,
6,1799,,0.5300706028938293,,,,
6,1849,,0.5168087482452393,,,,
6,1899,,0.5038049221038818,,,,
6,1903,,,,0.7498826384544373,0.4957830011844635,0.4957830011844635
6,1903,0.7518108487129211,,0.49180805683135986,,,
7,1949,,0.47805511951446533,,,,
7,1999,,0.4801371693611145,,,,
7,2049,,0.5274868011474609,,,,
7,2099,,0.47678208351135254,,,,
7,2149,,0.5115206241607666,,,,
7,2175,,,,0.7509222030639648,0.4957103431224823,0.4957103431224823
7,2175,0.7527989149093628,,0.4910947382450104,,,
8,2199,,0.49661368131637573,,,,
8,2249,,0.5247728824615479,,,,
8,2299,,0.4799615442752838,,,,
8,2349,,0.4871007204055786,,,,
8,2399,,0.4716912508010864,,,,
8,2447,,,,0.7498155832290649,0.49600687623023987,0.49600687623023987
8,2447,0.7530252933502197,,0.4905385375022888,,,
