epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,49,,0.05128175765275955,,,,
0,99,,0.042152270674705505,,,,
0,135,,,,0.9939470291137695,0.0326070599257946,0.0326070599257946
0,135,0.9790600538253784,,0.07487741112709045,,,
1,149,,0.03159040957689285,,,,
1,199,,0.037068337202072144,,,,
1,249,,0.03136879950761795,,,,
1,271,,,,0.9939470291137695,0.030108463019132614,0.030108463019132614
1,271,0.9942260980606079,,0.03198912367224693,,,
2,299,,0.023660700768232346,,,,
2,349,,0.011940110474824905,,,,
2,399,,0.01776537112891674,,,,
2,407,,,,0.9939470291137695,0.02976333722472191,0.02976333722472191
2,407,0.9943230748176575,,0.029702916741371155,,,
3,449,,0.03147808089852333,,,,
3,499,,0.02450793981552124,,,,
3,543,,,,0.9939470291137695,0.02913522720336914,0.02913522720336914
3,543,0.9943518042564392,,0.02878800965845585,,,
4,549,,0.02023555338382721,,,,
4,599,,0.0338740274310112,,,,
4,649,,0.023841997608542442,,,,
4,679,,,,0.9939470291137695,0.02921624667942524,0.02921624667942524
4,679,0.994359016418457,,0.028267018496990204,,,
